             ID                                                                                             Station                                             River                                             Basin                         Country       lon       lat elevation     EGM08     EGM96                       Satellite       Start Date         End Date       Status
082213000050441                                                                                      82213000050441                                         Mackenzie                                         Mackenzie                          Canada -133.7856   67.4760  -99.0000   -1.2900   -1.0300                            SWOT       2023-12-01       2024-12-31       active
082213000050451                                                                                      82213000050451                                         Mackenzie                                         Mackenzie                          Canada -133.7857   67.4743  -99.0000   -1.2870   -1.0300                            SWOT       2023-12-01       2024-12-31       active
082213000050461                                                                                      82213000050461                                         Mackenzie                                         Mackenzie                          Canada -133.7852   67.4724  -99.0000   -1.2820   -1.0300                            SWOT       2023-12-01       2024-12-31       active
082213000050471                                                                                      82213000050471                                         Mackenzie                                         Mackenzie                          Canada -133.7848   67.4706  -99.0000   -1.2780   -1.0200                            SWOT       2023-12-01       2024-12-31       active
082213000050481                                                                                      82213000050481                                         Mackenzie                                         Mackenzie                          Canada -133.7846   67.4689  -99.0000   -1.2750   -1.0200                            SWOT       2023-12-01       2024-12-31       active
082213000050491                                                                                      82213000050491                                         Mackenzie                                         Mackenzie                          Canada -133.7842   67.4671  -99.0000   -1.2710   -1.0200                            SWOT       2023-12-01       2024-12-31       active
082213000050501                                                                                      82213000050501                                         Mackenzie                                         Mackenzie                          Canada -133.7837   67.4654  -99.0000   -1.2670   -1.0100                            SWOT       2023-12-01       2024-12-31       active
082213000050511                                                                                      82213000050511                                         Mackenzie                                         Mackenzie                          Canada -133.7829   67.4636  -99.0000   -1.2640   -1.0100                            SWOT       2023-12-01       2024-12-31       active
082213000050521                                                                                      82213000050521                                         Mackenzie                                         Mackenzie                          Canada -133.7820   67.4619  -99.0000   -1.2600   -1.0100                            SWOT       2023-12-01       2024-12-31       active
082213000050531                                                                                      82213000050531                                         Mackenzie                                         Mackenzie                          Canada -133.7811   67.4601  -99.0000   -1.2570   -1.0100                            SWOT       2023-12-01       2024-12-31       active
082213000050541                                                                                      82213000050541                                         Mackenzie                                         Mackenzie                          Canada -133.7798   67.4585  -99.0000   -1.2540   -1.0000                            SWOT       2023-12-01       2024-12-31       active
082213000050551                                                                                      82213000050551                                         Mackenzie                                         Mackenzie                          Canada -133.7778   67.4568  -99.0000   -1.2510   -1.0000                            SWOT       2023-12-01       2024-12-31       active
082213000050561                                                                                      82213000050561                                         Mackenzie                                         Mackenzie                          Canada -133.7754   67.4552  -99.0000   -1.2490   -1.0000                            SWOT       2023-12-01       2024-12-31       active
082213000050571                                                                                      82213000050571                                         Mackenzie                                         Mackenzie                          Canada -133.7726   67.4537  -99.0000   -1.2470   -1.0000                            SWOT       2023-12-01       2024-12-31       active
