lats,lons,pnames,flag,RMSE(ordinary),bias(ordinary),corr(ordinary)
-30.9,-52.79,R_CAMAQUA_CAMAQUA_KM0178,10,1.7442749,-1.2347527,0.8199797080513129
-30.99,-53.23,R_CAMAQUA_CAMAQUA_KM0249,20,5.164024,5.0658035,0.5324310854973159
-34.35,20.66,R_BREEDE_BREEDE_KM0020,10,1.2385596,0.9734325,0.029405890886237785
-31.78,-52.32,R_CEBOLLATI_CANAL-SAO-GONCALO_KM0008,10,0.72644323,0.642768,0.5227432066581905
-34.26,21.77,R_GAMKA_GOURITS_KM0017,20,2.0516515,1.9385052,0.004316172559010986
-33.65,24.67,R_GROOT_GROOT_KM0117,10,9.534342,-9.382172,0.13386546418761094
-32.06,-52.46,R_CEBOLLATI_CANAL-SAO-GONCALO_KM0052,10,0.9237379,0.8932382,0.8754400405817393
-37.35,-66.59,R_COLORADO-01_DESAGUADERO_KM0740,20,5.3801446,5.367737,-0.2996946269833803
-33.34,-53.97,R_CEBOLLATI_CEBOLLATI_KM0308,10,2.8417983,2.614921,0.611617656677394
-32.63,-53.24,R_CEBOLLATI_JAGUARAO_KM0185,10,1.1736677,1.1123458,0.9018711564042712
-30.45,25.16,R_ORANGE_ORANGE_KM1506,10,4.760365,2.8171387,-0.6742145743660073
-30.48,25.18,R_ORANGE_ORANGE_KM1511,10,2.553082,1.2349854,-0.5917621769366737
-31.99,-52.48,R_CEBOLLATI_PIRATINI_KM0049,10,0.98695976,0.9061763,0.7711121115667975
-30.48,25.18,R_ORANGE_ORANGE_KM1512,10,2.9386716,0.70825195,-0.036991220699171636
-30.52,26.11,R_ORANGE_ORANGE_KM1650,10,1.953542,1.1281738,0.30736785855929893
-30.66,26.63,R_ORANGE_ORANGE_KM1729,10,5.9199305,5.849243,0.7838342613170456
-30.05,-52.55,R_JACUI_JACUI_KM0178,10,7.273528,-7.222873,0.5886871582654978
-34.27,-58.64,R_LUJAN_LUJAN_KM0007,10,0.6294928,0.4247473,-0.2153112192254717
-30.54,27.04,R_ORANGE_SENQU_KM1805,20,1.1813114,1.0880127,0.8799669993028041
