lats,lons,pnames,flag,RMSE(AltiMaP),bias(AltiMaP),corr(AltiMaP)
-30.48,25.18,R_ORANGE_ORANGE_KM1512,10,3.1271024,1.1182861,-0.036519998918774374
-30.52,26.11,R_ORANGE_ORANGE_KM1650,10,1.953542,1.1281738,0.30736785855929893
-30.66,26.63,R_ORANGE_ORANGE_KM1729,10,5.9199305,5.849243,0.7838342613170456
-30.05,-52.55,R_JACUI_JACUI_KM0178,10,7.273528,-7.222873,0.5886871582654978
-34.27,-58.64,R_LUJAN_LUJAN_KM0007,10,1.0995551,0.7413458,0.026676073189624984
-30.54,27.04,R_ORANGE_SENQU_KM1805,20,11.239238,11.213989,0.7582158369540133
-34.6,-59.2,R_LUJAN_LUJAN_KM0109,20,2.695627,2.6750164,0.544252364406769
-30.31,27.47,R_ORANGE_SENQU_KM1912,10,10.644597,10.616211,0.7214675169170874
-34.6,-59.21,R_LUJAN_LUJAN_KM0110,10,2.780836,2.7367916,0.21760722328782556
-33.3,-58.19,R_NEGRO3_NEGRO_KM0022,10,1.194378,0.9085187,0.49303595605967965
-36.8,-66.88,R_COLORADO-01_DESAGUADERO_KM0846,20,3.2947314,3.2495117,-0.17100843061545123
-32.96,-56.87,R_NEGRO3_NEGRO_KM0261,10,3.3841147,-3.2850685,0.808460552670231
-32.96,-56.89,R_NEGRO3_NEGRO_KM0263,10,3.3636358,-3.2673607,0.8042411415392069
-30.35,27.48,R_ORANGE_SENQU_KM1917,20,8.27231,8.241699,0.8123343027767669
-32.91,-56.85,R_NEGRO3_NEGRO_KM0272,10,1.4640032,-1.1659584,0.8010671755555567
-30.4,27.55,R_ORANGE_SENQU_KM1928,10,4.1397476,4.0635986,0.485945688638415
-32.88,-56.83,R_NEGRO3_NEGRO_KM0282,10,1.6923295,-1.3798828,0.8054473289556744
-30.07,28.1,R_ORANGE_SENQU_KM2059,10,9.437604,9.371948,0.567788637896374
-32.0,115.83,R_AVON-01_AVON_KM0016,10,0.48634067,0.28066558,-0.21391150892322827
