time,chainage [m],lat,lon,observed height [m],outlier
20110214 08:48:44,277474.48,29.266352,84.664782,4514.95,0
20110214 08:48:44,278653.36,29.258571,84.674207,4513.57,0
20120512 10:21:18,284262.6,29.248693,84.729344,5291.63,1
20121029 14:02:33,288075.44,29.239173,84.759315,5178,1
20120512 10:21:18,288152.43,29.233389,84.761904,5198.84,1
20111027 08:17:45,290480.83,29.244197,84.774178,5258.09,1
20111027 08:17:45,291237.62,29.241339,84.780745,5338.4,1
20100730 18:39:05,294499.5,29.236108,84.811928,4504.81,0
20100730 18:39:05,294709.46,29.233428,84.812935,4504.07,0
20120805 06:08:44,295721.36,29.224283,84.824145,4502.88,0
20130122 09:49:25,295728.15,29.230936,84.823227,5245.07,1
20130808 11:52:15,300400.32,29.226382,84.865967,5572.18,1
20120413 23:52:55,302469.73,29.209785,84.874542,5093.44,1
20110411 18:07:46,303291.45,29.203614,84.879205,5213.31,1
20121029 01:55:58,304798.68,29.201308,84.893103,4496.26,0
20110411 18:07:46,306984.36,29.186836,84.905182,5211.26,1
20120707 19:40:12,307188.65,29.185723,84.906546,4824.95,1
20121029 01:55:58,307478.42,29.183071,84.908176,4495.99,0
20120707 19:40:12,308442.73,29.179966,84.917533,4818.07,1
20120707 19:40:12,309018.42,29.182494,84.923506,4816.45,1
20130121 21:42:55,311697.73,29.174141,84.948745,4893.54,1
20130711 01:23:58,311760.21,29.17168,84.947367,5138.63,1
20110116 10:13:47,312771.25,29.17352,84.957191,5582.53,1
20130711 01:23:58,313008.03,29.173932,84.960903,5185.23,1
20110928 09:42:43,313176.6,29.17361,84.962593,4763.38,1
20120119 15:58:59,313729.43,29.169095,84.967179,5554.47,1
20130121 21:42:55,314778.02,29.1643,84.975254,4941.36,1
20110116 10:13:47,317320.44,29.172064,84.996594,5553.46,1
20120119 15:58:59,317483.69,29.17277,84.998604,5555.36,1
20130416 17:30:10,318827.4,29.181425,85.005908,4917.19,1
20100925 03:58:08,320211.56,29.186588,85.019532,4486.45,0
20121224 11:14:36,320339.45,29.187654,85.022137,5265.8,1
20120930 15:27:35,321230.22,29.194339,85.027671,4485.63,0
20110705 01:48:48,322011.26,29.20292,85.023671,5069.96,1
